,0
0,0.32050455
1,-0.34813017
2,-0.001962185
3,0.30200183
4,0.5570904
5,0.3936649
6,0.79211354
7,0.73687387
8,0.6254946
9,0.68180156
10,0.4342118
11,0.55394065
12,-0.41100115
13,-0.46998307
14,0.29075634
15,0.74599415
16,0.66689956
17,0.59395945
18,0.811257
19,-0.3452794
20,0.6911601
21,0.096137375
22,1.0843183
23,0.28692096
24,0.835866
25,-0.02606377
26,0.0053334236
27,0.48894173
28,0.50972795
29,-0.64201057
30,0.39959115
31,0.36083645
32,-0.29743046
33,-0.017008454
34,0.60256004
35,0.60624945
36,0.18579766
37,0.1517796
38,1.4066982
39,0.25130075
40,0.79516995
41,1.0587986
42,0.6177527
43,0.2265814
44,-0.33523008
45,0.6491864
46,-0.20485517
47,0.037710384
48,0.6067058
49,-0.096727535
50,0.35621947
51,0.09788322
52,0.05404064
53,0.22984433
54,0.0400085
55,0.22542176
56,-0.7361201
57,-0.42184576
58,0.17309366
59,0.36510012
60,0.0021234006
