,0
1,5.453896548424819
2,4.5817373068376686
3,4.342997140062941
4,3.7304949543775625
5,3.449603014921926
6,1.7621999745608214
7,1.3157489749561098
8,-0.09648103484468251
9,-1.0378246295813418
10,-2.363505855391568
11,-3.8413886084717213
12,-6.400815949589733
13,-7.655498329304922
14,-10.157102504932453
15,-12.68768012395827
16,-14.338152092855278
17,-17.030407426826752
18,-15.698662858679445
19,-17.655228600376198
20,-14.73233189650172
21,-15.66112432708713
22,-15.003090770566583
23,-16.86388569040539
24,-15.445875917249978
25,-18.342710117352734
26,-18.8466116057358
27,-19.45130661426706
28,-16.00511002842553
29,-14.82727460780252
30,-14.269026822313428
31,-17.041916841835814
32,-16.323424732670645
33,-16.572254073971074
34,-18.535916462158816
35,-19.236310810502346
36,-21.721647682961674
37,-21.903576425776443
38,-22.3830916077997
39,-8.272210982486046
40,-21.75469184372157
41,-21.290004982399463
42,-17.9138932199913
43,-17.953091918484382
44,-17.750016804343993
45,-16.15196636205809
46,-16.060978080044777
47,-15.57018137477628
48,-14.793521915942936
49,-16.294331525045795
50,-16.059606590049725
51,-15.518273642874494
52,-15.899968594164989
53,-15.63539145084829
54,-15.523480265839865
55,-16.051600975978523
56,-17.065397513165017
57,-16.99607352044754
58,-17.549527502891912
59,-20.85828308500662
60,-21.633642357490093
61,-20.32374173035909
62,-13.637562717175323
63,-13.850067327625624
64,-14.767708975591933
65,-21.915289711425984
66,-19.234591878831296
67,-18.821098991172327
68,-16.14302085792852
69,-14.756201503182421
70,-15.221402299642124
71,-15.299971946452615
72,-13.857024046476702
73,-20.952950685036207
74,-20.38624944476891
75,-18.86251294827059
76,-16.13171914629529
77,-13.834818245593747
78,-12.786534167913858
79,-11.231002882617963
80,-10.917684500973376
81,-11.412854979190278
82,-10.195089566857927
83,-10.125587683419061
84,-11.338757518083115
85,-11.805426086420878
86,-11.52414146967093
87,-10.814813986952519
88,-11.806310031584665
89,-11.491859448382058
90,-13.369312168626276
91,-12.531741578860279
92,-12.953215297783522
93,-14.099416871487325
94,-15.52185737057173
95,-16.027452831460707
96,-15.729748011020588
97,-17.08210144640926
98,-18.449553267856047
99,-18.131638753522985
100,-19.315899719757418
101,-20.157857428368388
102,-21.814825573545356
103,-14.474091985454907
104,-15.532136064486767
105,-14.287498071904515
106,-15.924098040619242
107,-14.6127026004689
108,-17.927760537989315
109,-18.661272378987523
110,-14.380365126801617
111,-18.502108385780623
112,-16.02256779311667
113,-14.941703711198569
114,-15.349611098840835
115,-15.272934612441599
