,step,action
0,0.0,0.0
1,0.0,21.05676510262271
2,1.0,21.05676510262271
3,1.0,17.11483470555772
4,2.0,17.11483470555772
5,2.0,10.58554665034967
6,3.0,10.58554665034967
7,3.0,1.9571937194368827
8,4.0,1.9571937194368827
9,4.0,-1.5586471780776012
10,5.0,-1.5586471780776012
11,5.0,-0.9674599050935972
12,6.0,-0.9674599050935972
13,6.0,-3.501568175903693
14,7.0,-3.501568175903693
15,7.0,-2.9022338507333822
16,8.0,-2.9022338507333822
17,8.0,-1.1520003923587163
18,9.0,-1.1520003923587163
19,9.0,-1.8772542169723483
20,10.0,-1.8772542169723483
21,10.0,0.0
