,step,action
0,0.0,0.0
1,0.0,29.123056411743164
2,1.0,29.123056411743164
3,1.0,29.203746795654297
4,2.0,29.203746795654297
5,2.0,-19.328357696533203
6,3.0,-19.328357696533203
7,3.0,-19.440961837768555
8,4.0,-19.440961837768555
9,4.0,-19.482765197753906
10,5.0,-19.482765197753906
11,5.0,-19.579666137695312
12,6.0,-19.579666137695312
13,6.0,-19.422527313232422
14,7.0,-19.422527313232422
15,7.0,-19.1829891204834
16,8.0,-19.1829891204834
17,8.0,-19.35364532470703
18,9.0,-19.35364532470703
19,9.0,-19.08420753479004
20,10.0,-19.08420753479004
21,10.0,0.0
