,step,action
0,0.0,0.0
1,0.0,25.72646141052246
2,1.0,25.72646141052246
3,1.0,0.7618890404701233
4,2.0,0.7618890404701233
5,2.0,3.4218122959136963
6,3.0,3.4218122959136963
7,3.0,4.152011871337891
8,4.0,4.152011871337891
9,4.0,3.0370569229125977
10,5.0,3.0370569229125977
11,5.0,1.8818950653076172
12,6.0,1.8818950653076172
13,6.0,2.989478349685669
14,7.0,2.989478349685669
15,7.0,1.8981059789657593
16,8.0,1.8981059789657593
17,8.0,2.971240758895874
18,9.0,2.971240758895874
19,9.0,3.4276981353759766
20,10.0,3.4276981353759766
21,10.0,0.0
