,step,action
0,0.0,0.0
1,0.0,-10.757965087890625
2,1.0,-10.757965087890625
3,1.0,-10.68682861328125
4,2.0,-10.68682861328125
5,2.0,-11.743502616882324
6,3.0,-11.743502616882324
7,3.0,-11.950889587402344
8,4.0,-11.950889587402344
9,4.0,-12.446475982666016
10,5.0,-12.446475982666016
11,5.0,-11.775557518005371
12,6.0,-11.775557518005371
13,6.0,-10.75471019744873
14,7.0,-10.75471019744873
15,7.0,-12.965102195739746
16,8.0,-12.965102195739746
17,8.0,-12.808473587036133
18,9.0,-12.808473587036133
19,9.0,-12.164680480957031
20,10.0,-12.164680480957031
21,10.0,0.0
