,step,action
0,0.0,0.0
1,0.0,8.802668571472168
2,1.0,8.802668571472168
3,1.0,1.6910268068313599
4,2.0,1.6910268068313599
5,2.0,2.7161219120025635
6,3.0,2.7161219120025635
7,3.0,4.023062229156494
8,4.0,4.023062229156494
9,4.0,2.193995237350464
10,5.0,2.193995237350464
11,5.0,3.358018398284912
12,6.0,3.358018398284912
13,6.0,2.3700294494628906
14,7.0,2.3700294494628906
15,7.0,1.6786415576934814
16,8.0,1.6786415576934814
17,8.0,4.265049934387207
18,9.0,4.265049934387207
19,9.0,2.523958683013916
20,10.0,2.523958683013916
21,10.0,0.0
