,step,action
0,0.0,0.0
1,0.0,7.224572658538818
2,1.0,7.224572658538818
3,1.0,-0.9080119729042053
4,2.0,-0.9080119729042053
5,2.0,1.8631701469421387
6,3.0,1.8631701469421387
7,3.0,1.1871150732040405
8,4.0,1.1871150732040405
9,4.0,1.7162848711013794
10,5.0,1.7162848711013794
11,5.0,1.1358058452606201
12,6.0,1.1358058452606201
13,6.0,1.401410698890686
14,7.0,1.401410698890686
15,7.0,2.2167510986328125
16,8.0,2.2167510986328125
17,8.0,1.4903178215026855
18,9.0,1.4903178215026855
19,9.0,2.445669174194336
20,10.0,2.445669174194336
21,10.0,0.0
