,step,action
0,0.0,0.0
1,0.0,19.81056785583496
2,1.0,19.81056785583496
3,1.0,18.647293090820312
4,2.0,18.647293090820312
5,2.0,10.052146911621094
6,3.0,10.052146911621094
7,3.0,-0.7202444076538086
8,4.0,-0.7202444076538086
9,4.0,-2.1521944999694824
10,5.0,-2.1521944999694824
11,5.0,-4.244251251220703
12,6.0,-4.244251251220703
13,6.0,-3.0217111110687256
14,7.0,-3.0217111110687256
15,7.0,-4.086689472198486
16,8.0,-4.086689472198486
17,8.0,-3.9294934272766113
18,9.0,-3.9294934272766113
19,9.0,-2.816741943359375
20,10.0,-2.816741943359375
21,10.0,0.0
