,step,action
0,0.0,0.0
1,0.0,16.57683563232422
2,1.0,16.57683563232422
3,1.0,17.08110237121582
4,2.0,17.08110237121582
5,2.0,11.914875984191895
6,3.0,11.914875984191895
7,3.0,3.505157470703125
8,4.0,3.505157470703125
9,4.0,-3.4912378787994385
10,5.0,-3.4912378787994385
11,5.0,-3.4506032466888428
12,6.0,-3.4506032466888428
13,6.0,-3.9157931804656982
14,7.0,-3.9157931804656982
15,7.0,-4.329588413238525
16,8.0,-4.329588413238525
17,8.0,-4.585481643676758
18,9.0,-4.585481643676758
19,9.0,-4.311473369598389
20,10.0,-4.311473369598389
21,10.0,0.0
