,step,action
0,0.0,0.0
1,0.0,20.20408058166504
2,1.0,20.20408058166504
3,1.0,16.904781341552734
4,2.0,16.904781341552734
5,2.0,12.790657043457031
6,3.0,12.790657043457031
7,3.0,-3.377826690673828
8,4.0,-3.377826690673828
9,4.0,-5.792660236358643
10,5.0,-5.792660236358643
11,5.0,-6.281965255737305
12,6.0,-6.281965255737305
13,6.0,-7.386301517486572
14,7.0,-7.386301517486572
15,7.0,-7.24038028717041
16,8.0,-7.24038028717041
17,8.0,-7.421896457672119
18,9.0,-7.421896457672119
19,9.0,-5.89025354385376
20,10.0,-5.89025354385376
21,10.0,0.0
