,step,action
0,0.0,0.0
1,0.0,14.678112983703613
2,1.0,14.678112983703613
3,1.0,15.870503425598145
4,2.0,15.870503425598145
5,2.0,13.207714080810547
6,3.0,13.207714080810547
7,3.0,6.905580520629883
8,4.0,6.905580520629883
9,4.0,-2.5337581634521484
10,5.0,-2.5337581634521484
11,5.0,-2.8011019229888916
12,6.0,-2.8011019229888916
13,6.0,-3.659911632537842
14,7.0,-3.659911632537842
15,7.0,-3.2676568031311035
16,8.0,-3.2676568031311035
17,8.0,-4.445282459259033
18,9.0,-4.445282459259033
19,9.0,-3.456695079803467
20,10.0,-3.456695079803467
21,10.0,0.0
