,step,action
0,0.0,0.0
1,0.0,16.3968505859375
2,1.0,16.3968505859375
3,1.0,15.208263397216797
4,2.0,15.208263397216797
5,2.0,12.0333251953125
6,3.0,12.0333251953125
7,3.0,-0.7477580308914185
8,4.0,-0.7477580308914185
9,4.0,-7.851710319519043
10,5.0,-7.851710319519043
11,5.0,-7.7994279861450195
12,6.0,-7.7994279861450195
13,6.0,-8.31299114227295
14,7.0,-8.31299114227295
15,7.0,-8.849019050598145
16,8.0,-8.849019050598145
17,8.0,-9.249032020568848
18,9.0,-9.249032020568848
19,9.0,-9.023673057556152
20,10.0,-9.023673057556152
21,10.0,0.0
