,step,action
0,0.0,0.0
1,0.0,17.194135665893555
2,1.0,17.194135665893555
3,1.0,16.4278564453125
4,2.0,16.4278564453125
5,2.0,12.91812515258789
6,3.0,12.91812515258789
7,3.0,-1.111979365348816
8,4.0,-1.111979365348816
9,4.0,-8.934334754943848
10,5.0,-8.934334754943848
11,5.0,-8.930033683776855
12,6.0,-8.930033683776855
13,6.0,-7.703704833984375
14,7.0,-7.703704833984375
15,7.0,-9.083826065063477
16,8.0,-9.083826065063477
17,8.0,-9.170430183410645
18,9.0,-9.170430183410645
19,9.0,-7.3895721435546875
20,10.0,-7.3895721435546875
21,10.0,0.0
