,step,action
0,0.0,0.0
1,0.0,29.998337167931684
2,1.0,29.998337167931684
3,1.0,27.368399101958293
4,2.0,27.368399101958293
5,2.0,13.414035326519231
6,3.0,13.414035326519231
7,3.0,1.7770906764272043
8,4.0,1.7770906764272043
9,4.0,-7.361093895887247
10,5.0,-7.361093895887247
11,5.0,-9.18384687382135
12,6.0,-9.18384687382135
13,6.0,-8.674094150062244
14,7.0,-8.674094150062244
15,7.0,-10.963952151357336
16,8.0,-10.963952151357336
17,8.0,-10.543310038342398
18,9.0,-10.543310038342398
19,9.0,-8.02395264880824
20,10.0,-8.02395264880824
21,10.0,0.0
