,step,action
0,0.0,0.0
1,0.0,37.00422286987305
2,1.0,37.00422286987305
3,1.0,37.51183319091797
4,2.0,37.51183319091797
5,2.0,34.69938278198242
6,3.0,34.69938278198242
7,3.0,-22.89844512939453
8,4.0,-22.89844512939453
9,4.0,-34.19761657714844
10,5.0,-34.19761657714844
11,5.0,-34.61488342285156
12,6.0,-34.61488342285156
13,6.0,-34.75633239746094
14,7.0,-34.75633239746094
15,7.0,-35.004512786865234
16,8.0,-35.004512786865234
17,8.0,-35.86671829223633
18,9.0,-35.86671829223633
19,9.0,-35.138065338134766
20,10.0,-35.138065338134766
21,10.0,0.0
