,0
0,0.32050455
1,-0.34278303
2,0.0026467443
3,0.3063741
4,0.5667554
5,0.4085781
6,0.8117205
7,0.7643899
8,0.66002685
9,0.72212005
10,0.48107672
11,0.6052951
12,-0.3544571
13,-0.41370824
14,0.3470521
15,0.8075569
16,0.7357325
17,0.6690055
18,0.8917545
19,-0.2567674
20,0.77937376
21,0.19129473
22,1.184305
23,0.39774966
24,0.95095825
25,0.09727773
26,0.12724516
27,0.6167227
28,0.64196235
29,-0.505182
30,0.53581077
31,0.50250095
32,-0.1511277
33,0.12923762
34,0.74749005
35,0.75756353
36,0.34268507
37,0.3134045
38,1.5731797
39,0.43196094
40,0.97991884
41,1.2512516
42,0.82066846
43,0.4347106
44,-0.1224677
45,0.8617215
46,0.014072537
47,0.25563857
48,0.83009565
49,0.13218841
50,0.5837639
51,0.33073643
52,0.2917568
53,0.47244337
54,0.2872556
55,0.47757483
56,-0.47932607
57,-0.16564927
58,0.42957586
59,0.62667286
60,0.26816773
