,step,action
0,0.0,0.0
1,0.0,30.0
2,1.0,30.0
3,1.0,17.970688023181758
4,2.0,17.970688023181758
5,2.0,-0.8267261008184708
6,3.0,-0.8267261008184708
7,3.0,-4.261367398907165
8,4.0,-4.261367398907165
9,4.0,-0.9174694003531203
10,5.0,-0.9174694003531203
11,5.0,-0.7962073450887575
12,6.0,-0.7962073450887575
13,6.0,-0.8504599955658774
14,7.0,-0.8504599955658774
15,7.0,-0.8188013204556199
16,8.0,-0.8188013204556199
17,8.0,-0.8388881876049933
18,9.0,-0.8388881876049933
19,9.0,-0.8258864591488864
20,10.0,-0.8258864591488864
21,10.0,0.0
